PERNOD RICARD SA;L'OREAL;VINCI SA;BANCO BILBAO VIZCAYA ARGENTA;BANCO SANTANDER SA;ASML HOLDING NV;KONINKLIJKE PHILIPS NV;TELEFONICA SA;TOTAL SE;AIR LIQUIDE SA;AXA SA;BNP PARIBAS;DANONE;VIVENDI SE;ESSILORLUXOTTICA;LVMH MOET HENNESSY LOUIS VUI;KERING;AMADEUS IT GROUP SA;SAFRAN SA;KONINKLIJKE AHOLD DELHAIZE N;UNILEVER PLC;IBERDROLA SA;ING GROEP NV;LINDE PLC;INDUSTRIA DE DISENO TEXTIL;INTESA SANPAOLO;ENI SPA;ENGIE;ORANGE;ANHEUSER-BUSCH INBEV SA/NV;SANOFI;SOCIETE GENERALE SA;ENEL SPA;NOKIA OYJ;SCHNEIDER ELECTRIC SE;ALLIANZ SE-REG;AIRBUS SE;BAYER AG-REG;BAYERISCHE MOTOREN WERKE AG;CRH PLC;BASF SE;SIEMENS AG-REG;VOLKSWAGEN AG-PREF;MUENCHENER RUECKVER AG-REG;FRESENIUS SE & CO KGAA;SAP SE;ADIDAS AG;DEUTSCHE TELEKOM AG-REG;DEUTSCHE POST AG-REG;MERCEDES-BENZ GROUP AG;DEUTSCHE BOERSE AG
157.05;234.7;85.88;5.485;4.4855;167.98;36.12;7.833;51.54;101.6818181818182;22.845;45.11;68.78;26.11;105.5;320.3;509.4;67.84;121.25;23.51;50.2;7.736;10.966;154.15;26.59;2.236;15.89;13.44;14.36;74.3;79.55;27.975;5.52;5.582;71.14;200.2;119.0;69.7;75.72;27.71;67.8;99.5;147.9;217.0;48.82;100.14;211.0;15.69;29.87;52.86;115.7
157.9;235.2;85.84;5.419;4.423;166.18;35.67;7.723;50.36;102.4090909090909;22.675;44.19;68.96;25.89;105.0;318.2;502.8;68.52;120.9;23.545;50.2;7.768;10.75;154.2;26.1;2.23;15.776;13.475;14.355;73.18;79.4;27.24;5.544;5.47;70.26;198.92;117.86;63.0;71.98;27.82;67.5;97.35;143.92;211.0;49.51;100.1;209.8;15.665;29.43;51.72;114.5
160.1;237.3;86.08;5.372;4.3115;169.58;35.75;7.737;50.48;102.6818181818182;22.605;43.04;69.41;25.86;98.12;317.8;500.0;68.0;120.95;23.685;50.6;7.78;10.742;153.95;26.29;2.215;15.83;13.45;14.545;73.49;79.74;26.575;5.58;5.52;70.18;197.3;118.56;61.28;71.15;27.63;67.08;98.41;142.94;211.2;48.28;100.1;208.5;15.8;28.85;51.5;111.1
157.5;234.7;84.84;5.188;4.146;167.3;35.31;7.6;49.43;100.5909090909091;22.33;41.625;67.7;25.51;97.96;313.45;492.2;67.28;118.1;23.625;51.2;7.728;10.464;150.35;26.27;2.1565;15.7;13.245;14.41;71.81;78.31;25.525;5.634;5.236;67.74;196.34;114.6;59.3;69.6;27.19;65.51;95.28;139.14;207.5;46.24;98.68;209.9;15.645;28.56;50.5;111.9
158.6;234.8;84.88;5.2;4.1465;165.1;35.355;7.544;49.25;101.9090909090909;22.295;41.525;67.13;25.46;97.0;317.7;497.4;67.28;117.85;23.43;51.2;7.77;10.492;151.4;25.92;2.149;15.624;13.3;14.325;71.21;77.96;25.4;5.62;5.156;68.3;196.2;114.04;57.59;68.92;27.17;65.32;94.9;139.82;207.7;47.09;98.64;212.7;15.55;28.53;50.75;111.2
159.9;238.3;86.04;5.143;4.088;166.0;35.92;7.574;49.585;102.6818181818182;22.37;41.425;67.78;25.8;98.82;322.8;504.2;68.2;118.1;23.44;51.2;7.766;10.482;150.6;26.43;2.1435;15.616;13.23;14.4;72.55;78.33;25.475;5.702;5.134;68.72;197.58;116.34;57.07;67.91;26.83;65.27;94.78;138.62;208.0;48.76;100.86;214.2;15.635;28.64;50.39;113.1
159.35;238.4;86.24;5.116;4.152;163.28;35.92;7.59;49.36;102.4090909090909;22.48;42.325;67.54;25.77;98.6;322.9;502.0;68.66;116.9;23.98;51.6;7.884;10.748;150.65;25.9;2.16;15.59;13.295;14.4;73.21;77.69;25.97;5.714;5.136;68.98;198.0;115.48;56.33;68.23;26.7;65.12;95.57;139.04;208.3;48.54;100.24;213.9;15.635;28.85;51.35;113.75
160.0;238.6;85.56;5.047;4.103;163.36;36.1;7.392;49.295;102.6363636363636;22.255;41.985;68.12;25.78;96.0;324.1;503.4;69.68;118.65;23.6;51.6;7.854;10.65;153.4;25.94;2.164;15.48;13.24;14.36;73.15;78.71;25.47;5.686;5.046;68.68;197.44;116.26;56.29;67.89;26.75;65.54;95.0;138.48;209.2;49.08;101.44;214.8;15.53;28.73;51.09;113.95
160.0;239.8;86.72;5.093;4.1445;167.2;36.315;7.469;49.52;103.0454545454545;22.43;42.61;68.69;25.83;97.38;327.9;511.2;71.4;122.25;23.725;51.6;7.826;10.784;156.0;26.2;2.171;15.754;13.28;14.5;74.76;78.74;25.775;5.704;5.074;69.94;198.28;117.9;57.6;68.75;27.65;65.53;95.94;140.32;211.0;49.76;103.0;216.6;14.795;29.0;52.25;114.3
158.5;240.4;87.5;5.306;4.272;170.5;36.525;7.511;50.0;103.6363636363636;22.705;43.48;68.34;25.75;97.2;333.25;522.1;71.7;123.2;23.585;51.2;7.77;11.038;158.4;26.09;2.2055;15.83;13.315;14.585;74.53;78.85;26.525;5.658;5.124;70.74;199.94;117.76;58.26;69.7;28.26;66.66;97.95;144.46;211.8;51.45;103.0;219.2;14.834;29.44;54.4;114.2
